student_id,study_hours,attendance_percentage,class_participation,sleep_hours,previous_grade,internet_access,extra_activities,parent_education,stress_level,grade
34,24,90,1,3.0,D,No,Yes,HighSchool,6,D
35,15,50,8,6.6,A,Yes,No,HighSchool,1,C
36,7,70,7,9.3,B,Yes,No,Graduate,8,C
37,22,86,10,5.9,C,No,No,HighSchool,1,A
38,0,57,0,8.7,B,No,Yes,Graduate,4,C
39,6,92,5,4.9,C,Yes,Yes,HighSchool,2,D
40,4,80,2,7.2,B,No,Yes,HighSchool,9,C
41,6,70,5,8.2,A,Yes,Yes,PostGraduate,3,C
42,10,85,3,5.8,C,No,Yes,Graduate,5,A
43,15,66,7,5.7,A,No,No,HighSchool,7,B
44,13,94,1,6.4,A,Yes,No,Graduate,5,C
45,17,99,3,10.0,A,Yes,Yes,Graduate,7,C
46,3,98,2,9.5,C,Yes,No,Graduate,3,A
47,20,100,2,10.0,C,No,No,PostGraduate,3,A
48,17,86,10,4.2,B,Yes,Yes,PostGraduate,2,C
49,22,98,7,4.5,A,No,Yes,Graduate,4,D
50,6,100,6,5.5,C,Yes,No,HighSchool,6,C
51,0,72,5,3.4,A,No,Yes,HighSchool,8,C
52,7,81,4,6.3,D,No,Yes,Graduate,2,D
53,16,84,6,10.0,A,No,No,HighSchool,9,D
54,8,58,6,7.5,D,No,No,Graduate,4,C
55,10,56,3,9.6,A,No,Yes,PostGraduate,8,C
56,11,59,8,7.7,B,Yes,No,HighSchool,3,B
57,12,50,5,5.7,D,Yes,No,Graduate,10,D
58,21,100,3,8.2,B,Yes,Yes,Graduate,9,B
59,20,100,6,10.0,D,No,Yes,Graduate,5,C
60,15,61,7,9.2,B,Yes,Yes,HighSchool,1,C
61,19,70,1,9.6,C,Yes,No,HighSchool,2,C
62,10,63,3,6.6,D,Yes,Yes,Graduate,1,D
63,27,85,1,7.4,C,Yes,No,HighSchool,3,B
64,10,72,0,8.6,D,Yes,Yes,PostGraduate,10,D
65,20,55,3,5.5,B,No,Yes,Graduate,3,C
66,14,91,5,5.5,B,Yes,Yes,HighSchool,5,C
67,15,99,5,10.0,A,No,No,Graduate,5,D
68,9,76,10,7.2,A,Yes,No,Graduate,9,B
69,11,100,3,6.9,B,No,No,Graduate,9,B
70,12,67,2,6.0,B,No,Yes,HighSchool,3,C
71,15,79,10,9.9,A,No,Yes,HighSchool,3,C
72,24,82,6,10.0,A,No,Yes,HighSchool,1,A
73,31,83,3,7.0,B,No,No,Graduate,1,B
74,8,76,2,9.5,C,No,No,HighSchool,5,C
75,14,100,4,9.8,A,Yes,No,HighSchool,3,D
76,8,79,7,9.0,C,No,Yes,Graduate,2,B
77,9,81,5,9.8,D,Yes,Yes,Graduate,8,A
78,8,90,5,4.2,A,Yes,No,HighSchool,2,C
79,2,88,8,6.6,B,No,Yes,PostGraduate,2,D
80,17,98,6,5.8,A,Yes,Yes,Graduate,1,B
81,13,89,3,7.4,A,No,Yes,Graduate,8,D
82,9,87,4,9.3,A,No,No,Graduate,1,D
83,19,80,4,5.4,D,No,No,PostGraduate,3,D
84,26,81,9,8.5,C,Yes,Yes,HighSchool,2,D
85,27,99,7,3.0,C,No,Yes,PostGraduate,1,B
86,2,66,0,5.5,B,No,No,PostGraduate,7,D
87,6,100,6,4.0,D,No,No,Graduate,1,C
88,0,68,4,10.0,D,Yes,Yes,Graduate,1,C
89,15,82,1,7.3,D,Yes,No,Graduate,3,B
90,23,84,6,3.0,D,No,No,HighSchool,4,C
91,13,88,2,7.4,D,No,No,Graduate,3,C
92,11,66,3,6.1,B,Yes,No,PostGraduate,5,D
93,0,68,1,5.5,A,Yes,Yes,PostGraduate,6,D
94,13,69,3,10.0,C,Yes,Yes,Graduate,2,D
95,20,65,6,6.4,A,Yes,Yes,HighSchool,1,B
96,23,58,0,8.0,B,Yes,No,HighSchool,3,C
97,19,76,3,5.8,C,Yes,No,PostGraduate,3,B
98,13,100,1,5.9,C,Yes,Yes,Graduate,2,D
99,8,65,1,7.8,B,Yes,Yes,HighSchool,6,C
100,19,75,1,10.0,D,No,Yes,Graduate,7,D
101,16,92,9,7.4,B,Yes,Yes,Graduate,3,D
102,17,55,6,7.8,A,No,Yes,PostGraduate,7,C
103,16,94,4,9.3,D,No,No,PostGraduate,5,B
104,25,98,8,8.1,C,No,Yes,Graduate,3,C
105,23,74,4,7.1,A,No,Yes,Graduate,2,C
106,17,81,0,6.2,C,No,No,HighSchool,2,C
107,17,94,4,8.4,C,No,Yes,HighSchool,8,A
108,13,80,4,3.0,B,No,No,HighSchool,8,C
109,0,64,4,6.5,D,No,No,PostGraduate,8,C
110,17,70,8,10.0,A,No,Yes,Graduate,4,C
111,18,87,4,10.0,C,No,Yes,HighSchool,2,D
112,21,89,4,5.9,A,Yes,No,PostGraduate,6,C
113,11,69,2,6.0,C,Yes,Yes,HighSchool,6,C
114,15,71,6,7.0,C,No,Yes,PostGraduate,2,C
115,22,88,3,10.0,D,No,Yes,HighSchool,3,D
116,12,74,5,4.8,B,Yes,No,Graduate,1,D
117,7,79,3,4.8,B,No,Yes,HighSchool,3,C
118,34,99,2,3.6,D,Yes,No,Graduate,5,B
119,24,71,7,9.0,A,Yes,No,PostGraduate,6,A
120,18,71,6,7.1,C,Yes,No,Graduate,2,D
121,16,99,3,4.0,B,No,Yes,PostGraduate,7,B
122,15,70,3,3.8,A,No,No,HighSchool,5,C
123,29,64,10,8.3,A,Yes,No,HighSchool,3,B
124,30,63,2,3.5,D,No,No,Graduate,1,D
125,11,75,7,10.0,A,Yes,Yes,Graduate,5,C
126,9,74,4,6.4,B,No,No,PostGraduate,1,A
127,23,78,6,5.6,B,No,No,PostGraduate,7,B
128,17,88,3,9.4,B,Yes,Yes,Graduate,4,A
129,17,100,4,10.0,C,No,Yes,Graduate,7,D
130,29,73,8,6.9,B,Yes,Yes,Graduate,6,D
131,0,71,7,6.0,D,No,Yes,HighSchool,5,B
132,30,100,10,6.3,D,No,No,Graduate,1,A
133,16,83,6,5.3,D,No,No,Graduate,4,C
134,19,60,3,5.3,B,No,Yes,Graduate,3,B
135,21,72,0,7.1,B,No,No,Graduate,3,B
136,15,54,4,6.7,B,Yes,Yes,PostGraduate,6,D
137,20,57,4,6.2,D,No,No,Graduate,4,B
138,19,90,2,6.4,D,Yes,No,PostGraduate,8,D
139,38,80,3,6.4,A,No,No,HighSchool,4,D
140,9,100,6,8.9,C,Yes,Yes,HighSchool,4,B
141,9,90,6,6.6,C,No,No,PostGraduate,7,B
142,36,91,3,10.0,A,No,No,Graduate,2,D
143,23,77,1,7.8,D,Yes,Yes,PostGraduate,1,D
144,22,50,10,5.5,C,Yes,Yes,PostGraduate,4,D
145,4,80,2,9.4,D,Yes,No,Graduate,1,C
146,16,78,7,3.0,A,No,Yes,PostGraduate,1,B
147,15,96,7,5.2,C,No,No,Graduate,4,B
148,5,82,7,4.7,A,Yes,Yes,HighSchool,2,C
149,19,100,7,7.8,A,Yes,Yes,HighSchool,7,D
150,14,86,6,5.2,B,Yes,No,HighSchool,6,B
151,4,61,7,9.2,C,Yes,No,Graduate,4,D
152,8,91,3,6.8,D,Yes,No,Graduate,3,C
153,8,70,0,8.4,B,No,No,HighSchool,10,B
154,0,72,7,6.0,A,Yes,Yes,HighSchool,4,A
155,2,69,3,5.2,A,No,Yes,Graduate,5,C
156,27,77,0,7.2,A,No,Yes,PostGraduate,7,D
157,17,50,7,3.0,B,Yes,Yes,HighSchool,10,B
158,2,62,1,5.1,C,Yes,No,PostGraduate,5,D
159,25,92,4,4.8,D,No,Yes,PostGraduate,2,C
160,19,90,6,9.9,D,No,Yes,Graduate,1,C
161,23,98,4,6.3,A,No,No,Graduate,7,C
162,9,50,5,8.8,B,Yes,No,Graduate,6,B
163,40,88,0,4.9,B,Yes,Yes,HighSchool,2,D
164,4,63,5,8.0,C,No,Yes,HighSchool,1,D
165,18,100,2,9.4,C,No,No,PostGraduate,1,B
166,0,84,3,6.3,B,No,Yes,PostGraduate,4,C
167,8,58,4,9.6,B,Yes,No,Graduate,1,B
168,17,88,3,6.5,D,Yes,Yes,HighSchool,7,C
169,9,78,10,10.0,B,No,Yes,HighSchool,5,B
170,3,70,0,7.1,D,Yes,Yes,PostGraduate,2,C
171,0,77,5,5.9,A,Yes,Yes,Graduate,10,D
172,12,82,7,6.0,A,Yes,Yes,Graduate,9,D
173,11,100,9,7.1,C,Yes,Yes,HighSchool,10,A
174,22,100,7,8.3,C,Yes,No,HighSchool,3,D
175,16,82,2,8.1,C,Yes,No,Graduate,7,B
176,16,92,6,6.5,A,Yes,Yes,PostGraduate,4,D
177,21,86,9,6.3,D,No,Yes,PostGraduate,1,D
178,7,83,5,3.0,D,Yes,Yes,HighSchool,7,D
179,18,60,3,7.2,B,No,Yes,Graduate,4,A
180,14,53,10,4.8,D,Yes,No,PostGraduate,5,B
181,10,95,5,8.0,C,No,No,HighSchool,1,D
182,22,76,10,5.0,C,No,Yes,HighSchool,9,D
183,23,63,5,6.3,B,No,Yes,Graduate,9,B
184,17,63,7,4.1,A,Yes,Yes,Graduate,1,A
185,12,88,7,9.4,A,No,Yes,Graduate,4,C
186,20,71,9,7.9,A,Yes,Yes,HighSchool,2,C
187,32,91,2,6.3,B,Yes,Yes,HighSchool,9,D
188,15,50,10,8.5,D,Yes,Yes,PostGraduate,10,C
189,11,65,8,9.0,D,No,No,Graduate,10,B
190,27,50,4,8.3,C,Yes,No,PostGraduate,10,C
191,9,89,4,8.2,A,No,Yes,Graduate,10,A
192,16,94,9,9.0,C,Yes,No,Graduate,5,B
193,9,72,4,9.4,A,Yes,Yes,PostGraduate,10,D
194,13,62,0,7.9,C,Yes,Yes,Graduate,6,C
195,6,85,7,9.6,D,Yes,No,PostGraduate,1,C
196,19,90,7,3.0,B,No,Yes,HighSchool,2,C
197,15,61,2,8.7,B,No,No,HighSchool,3,C
198,22,70,6,7.2,B,No,No,PostGraduate,3,D
199,8,98,0,5.0,B,No,Yes,HighSchool,1,A
200,24,75,4,6.2,C,Yes,Yes,HighSchool,5,B
201,16,67,8,5.2,D,No,Yes,PostGraduate,6,D
202,20,88,5,7.0,A,No,Yes,PostGraduate,6,B
203,10,66,9,7.0,B,Yes,No,PostGraduate,2,D
204,14,81,2,7.3,D,Yes,No,Graduate,4,B
205,17,100,6,7.5,A,Yes,Yes,PostGraduate,1,C
206,10,76,10,10.0,B,No,No,Graduate,2,B
207,20,82,0,8.3,A,No,No,HighSchool,5,C
208,12,83,2,9.0,B,No,No,Graduate,4,A
209,15,71,7,9.4,D,Yes,Yes,PostGraduate,7,D
210,20,89,7,7.4,B,No,No,PostGraduate,4,D
211,12,82,8,6.0,A,Yes,Yes,Graduate,1,C
212,15,86,6,7.0,C,No,No,Graduate,6,D
213,9,97,5,6.4,D,Yes,Yes,PostGraduate,6,B
214,18,82,1,7.1,B,No,No,Graduate,10,C
215,8,86,5,8.4,D,No,No,PostGraduate,4,A
216,2,64,6,7.6,B,Yes,No,Graduate,9,D
217,0,86,9,8.0,B,No,Yes,Graduate,8,D
218,0,83,8,4.5,C,No,No,HighSchool,8,D
219,1,94,5,9.3,A,Yes,Yes,HighSchool,4,C
220,24,88,5,5.7,A,Yes,Yes,HighSchool,4,D
221,10,66,8,6.8,C,No,No,Graduate,1,C
222,23,96,4,7.1,A,No,No,HighSchool,2,C
223,24,85,3,8.5,D,Yes,Yes,HighSchool,5,C
224,1,70,3,5.4,C,No,Yes,PostGraduate,5,D
225,16,64,3,4.4,B,No,Yes,Graduate,10,B
226,20,80,0,8.7,C,Yes,No,HighSchool,5,D
227,13,73,4,6.9,D,Yes,Yes,Graduate,2,D
228,30,59,8,7.0,B,Yes,No,Graduate,3,D
229,11,73,5,9.1,C,No,Yes,HighSchool,4,C
230,19,65,0,7.1,B,Yes,No,PostGraduate,9,D
231,20,83,5,7.0,A,Yes,No,Graduate,1,B
232,25,86,2,9.1,C,No,No,Graduate,6,A
233,6,53,4,6.6,B,No,No,Graduate,2,C
234,9,89,4,9.0,A,No,No,Graduate,8,B
235,22,82,7,9.0,C,Yes,No,Graduate,5,C
236,7,88,9,4.6,B,No,No,Graduate,5,D
237,20,75,1,7.4,C,Yes,Yes,HighSchool,5,D
238,13,100,7,10.0,A,Yes,No,Graduate,3,D
239,17,63,6,3.0,A,No,Yes,PostGraduate,10,B
240,29,81,8,8.3,B,No,No,HighSchool,5,A
241,25,94,2,3.2,D,Yes,Yes,HighSchool,9,B
242,18,50,4,6.1,C,Yes,No,HighSchool,3,C
243,21,54,5,7.6,D,Yes,Yes,PostGraduate,2,A
244,16,86,4,10.0,C,Yes,No,HighSchool,1,D
245,16,77,5,10.0,A,Yes,No,Graduate,4,B
246,25,89,5,6.2,A,Yes,No,HighSchool,5,B
247,15,95,7,6.7,C,No,Yes,HighSchool,2,C
248,14,60,3,4.2,C,Yes,No,HighSchool,1,D
249,23,72,0,5.8,B,No,Yes,HighSchool,5,A
250,16,79,5,6.0,D,Yes,Yes,Graduate,4,C
251,1,68,8,5.3,D,Yes,Yes,HighSchool,3,D
252,14,65,5,10.0,B,No,Yes,HighSchool,1,B
253,18,80,10,7.0,A,No,Yes,PostGraduate,6,C
254,27,82,0,6.7,B,Yes,Yes,PostGraduate,1,D
255,18,79,1,5.7,C,No,Yes,HighSchool,1,B
256,5,72,2,8.3,C,No,Yes,PostGraduate,6,C
257,15,67,7,7.6,A,No,Yes,Graduate,7,C
258,10,81,8,9.8,B,Yes,No,HighSchool,1,D
259,21,51,6,7.0,B,No,Yes,PostGraduate,7,C
260,3,50,10,5.6,C,No,No,Graduate,7,C
261,40,100,1,10.0,D,No,No,Graduate,5,D
262,8,68,5,6.7,A,Yes,Yes,HighSchool,4,C
263,13,83,5,6.9,B,Yes,No,Graduate,8,D
264,8,51,7,8.0,B,Yes,No,HighSchool,3,B
265,10,79,7,3.9,D,Yes,No,PostGraduate,3,B
266,16,91,8,5.8,D,No,Yes,Graduate,3,A
267,13,89,6,4.3,B,Yes,Yes,HighSchool,4,B
268,40,68,7,6.8,C,Yes,No,Graduate,9,D
269,1,88,2,4.5,B,No,No,Graduate,1,D
270,3,91,4,5.9,C,Yes,Yes,PostGraduate,1,C
271,14,56,6,6.9,B,Yes,Yes,Graduate,2,C
272,28,77,8,6.1,C,No,No,Graduate,7,C
273,14,77,0,9.5,C,Yes,No,HighSchool,7,D
274,29,88,5,9.6,B,Yes,No,Graduate,6,B
275,2,100,3,5.4,B,No,No,Graduate,7,D
276,16,72,3,10.0,A,No,No,Graduate,8,D
277,31,81,5,4.8,B,No,No,Graduate,5,B
278,21,100,4,8.5,B,No,No,PostGraduate,4,D
279,17,82,6,7.1,B,Yes,Yes,Graduate,7,A
280,14,55,2,5.2,B,No,Yes,Graduate,4,C
281,21,61,5,8.9,A,Yes,Yes,HighSchool,7,A
282,27,84,4,6.0,A,No,Yes,Graduate,5,A
283,13,89,3,3.8,B,Yes,Yes,HighSchool,5,B
284,22,100,0,5.0,A,No,Yes,HighSchool,1,B
285,12,68,7,8.6,B,Yes,Yes,PostGraduate,1,C
286,18,56,8,6.5,D,Yes,Yes,HighSchool,6,C
287,2,95,3,6.7,C,No,No,Graduate,1,B
288,26,100,3,9.9,C,Yes,Yes,PostGraduate,5,A
289,4,62,4,8.2,C,Yes,No,Graduate,1,D
290,20,65,7,5.8,B,Yes,Yes,Graduate,5,C
291,0,92,10,7.3,D,Yes,Yes,HighSchool,10,D
292,15,66,10,3.8,A,No,No,HighSchool,6,C
293,21,83,0,6.4,D,Yes,Yes,PostGraduate,3,C
294,7,86,2,5.5,B,Yes,No,PostGraduate,1,A
295,13,76,6,9.5,A,No,Yes,HighSchool,9,B
296,21,84,4,7.2,B,Yes,Yes,PostGraduate,5,A
297,22,65,5,7.0,C,No,Yes,HighSchool,5,D
298,0,58,6,8.6,B,No,Yes,PostGraduate,1,D
299,29,64,4,7.1,C,No,Yes,Graduate,4,D
300,17,80,4,6.8,C,Yes,No,HighSchool,2,C
301,16,81,2,8.0,A,No,No,PostGraduate,6,C
302,6,74,3,3.2,A,No,No,Graduate,5,B
303,15,64,7,7.3,B,No,Yes,PostGraduate,3,D
304,35,91,7,4.5,C,No,No,HighSchool,3,C
305,8,68,8,5.2,C,No,No,HighSchool,6,A
306,0,81,4,3.2,A,No,Yes,Graduate,4,B
307,32,80,1,5.3,B,Yes,Yes,PostGraduate,10,D
308,5,68,4,3.6,B,Yes,Yes,PostGraduate,1,C
309,11,94,9,8.3,D,Yes,Yes,PostGraduate,1,B
310,14,60,9,7.0,D,No,No,HighSchool,3,C
311,15,56,5,6.8,A,Yes,No,PostGraduate,8,D
312,8,56,1,9.7,C,Yes,Yes,HighSchool,2,D
313,28,79,6,7.5,C,Yes,Yes,PostGraduate,7,A
314,21,78,3,9.2,C,Yes,No,PostGraduate,2,D
315,19,81,3,7.3,B,Yes,No,Graduate,10,D
316,2,67,0,6.6,C,No,No,HighSchool,4,C
317,15,78,3,9.5,C,No,No,Graduate,5,C
318,26,77,5,5.7,B,No,No,Graduate,6,B
319,10,69,8,7.5,D,Yes,Yes,Graduate,8,C
320,13,95,7,6.0,B,Yes,Yes,PostGraduate,9,B
321,22,79,5,5.3,D,No,Yes,Graduate,3,C
322,9,100,3,10.0,D,Yes,No,HighSchool,6,D
323,14,90,6,7.2,C,No,No,Graduate,2,D
324,0,89,8,5.3,D,Yes,No,HighSchool,3,B
325,10,53,2,7.5,D,Yes,Yes,Graduate,2,C
326,20,76,4,6.8,C,No,No,HighSchool,4,A
327,11,100,4,7.6,C,No,No,HighSchool,1,C
328,9,67,4,8.2,C,Yes,No,PostGraduate,7,C
329,23,81,1,6.9,C,No,No,HighSchool,10,C
330,24,52,2,10.0,D,No,Yes,PostGraduate,7,B
331,32,82,4,6.9,A,Yes,Yes,PostGraduate,4,C
332,22,70,10,8.7,B,No,No,Graduate,4,C
333,0,61,4,4.1,A,Yes,Yes,Graduate,10,D
334,8,100,8,6.6,C,Yes,Yes,PostGraduate,3,C
335,15,100,0,7.2,D,No,No,PostGraduate,3,D
336,30,77,7,9.1,D,Yes,No,HighSchool,5,C
337,17,70,5,8.1,B,No,Yes,HighSchool,2,B
338,18,95,6,3.0,B,Yes,Yes,PostGraduate,2,A
339,0,87,6,6.4,C,Yes,Yes,PostGraduate,1,B
340,9,86,5,7.5,B,No,No,HighSchool,3,B
341,16,68,1,8.4,A,No,No,Graduate,7,A
342,18,81,0,8.7,B,No,No,Graduate,5,D
343,9,81,3,9.3,D,No,No,PostGraduate,2,A
344,7,71,10,9.8,B,No,No,PostGraduate,1,B
345,25,75,9,9.3,C,No,Yes,HighSchool,5,B
346,14,77,7,9.5,D,Yes,No,PostGraduate,10,D
347,4,50,6,9.2,C,Yes,No,HighSchool,9,C
348,14,66,3,7.5,D,Yes,Yes,HighSchool,5,B
349,18,100,1,3.0,A,No,No,PostGraduate,6,B
350,20,95,6,10.0,A,Yes,Yes,HighSchool,7,D
351,21,96,5,3.0,B,No,Yes,HighSchool,1,A
352,16,88,6,6.7,D,No,No,HighSchool,3,D
353,6,76,8,4.1,A,Yes,No,PostGraduate,9,B
354,27,80,5,3.0,D,No,Yes,Graduate,1,D
355,14,100,8,5.3,B,No,Yes,Graduate,10,B
356,20,83,7,8.5,A,No,No,PostGraduate,7,D
357,20,69,9,7.8,C,No,No,Graduate,9,C
358,19,67,1,7.6,B,Yes,Yes,PostGraduate,9,D
359,16,58,4,8.4,C,No,No,Graduate,8,B
360,12,98,9,9.9,D,No,No,Graduate,4,C
361,4,86,3,9.5,A,Yes,Yes,Graduate,7,C
362,19,92,2,3.0,C,Yes,Yes,Graduate,4,D
363,0,96,2,5.6,C,Yes,No,Graduate,8,D
364,25,60,4,7.5,C,No,No,Graduate,7,C
365,10,70,3,5.2,C,No,No,Graduate,1,B
366,18,91,3,8.5,C,Yes,Yes,Graduate,5,C
367,19,81,2,7.2,D,No,No,HighSchool,7,D
368,14,67,6,8.5,D,No,Yes,Graduate,3,C
369,32,93,4,5.2,C,Yes,Yes,Graduate,2,D
370,4,71,8,6.9,A,No,No,Graduate,1,C
371,13,69,2,4.3,A,Yes,No,PostGraduate,5,B
372,16,97,4,7.0,B,Yes,Yes,Graduate,4,D
373,22,81,2,7.8,B,No,No,HighSchool,10,D
374,2,65,9,9.1,A,Yes,No,Graduate,2,B
375,21,70,3,10.0,B,Yes,No,Graduate,3,C
376,9,67,1,7.7,D,Yes,No,PostGraduate,9,C
377,3,100,5,7.5,B,Yes,Yes,Graduate,7,D
378,0,90,6,9.4,C,Yes,Yes,HighSchool,2,A
379,31,76,9,6.2,A,No,No,HighSchool,2,C
380,14,75,3,6.4,D,No,Yes,Graduate,2,C
381,1,100,1,7.3,A,No,Yes,Graduate,3,C
382,26,56,9,9.8,A,No,No,PostGraduate,4,A
383,27,97,5,8.3,C,Yes,Yes,Graduate,4,B
384,4,96,3,6.2,B,No,Yes,Graduate,3,C
385,16,94,0,6.6,B,No,Yes,Graduate,6,D
386,17,89,5,4.3,B,No,Yes,HighSchool,1,A
387,13,100,6,5.0,C,Yes,No,Graduate,1,A
388,4,81,5,8.2,C,No,Yes,Graduate,10,D
389,17,83,6,6.2,D,Yes,No,HighSchool,4,D
390,0,90,5,7.7,C,No,Yes,HighSchool,10,D
391,16,78,10,6.7,D,Yes,Yes,HighSchool,7,B
392,10,88,1,9.2,C,No,Yes,HighSchool,7,D
393,24,100,3,4.7,C,No,No,Graduate,7,C
394,36,78,1,7.2,B,Yes,Yes,Graduate,7,C
395,12,66,9,5.9,D,Yes,No,HighSchool,3,C
396,33,88,6,8.1,D,Yes,Yes,HighSchool,9,B
397,21,66,7,10.0,C,No,Yes,PostGraduate,6,D
398,32,68,4,8.4,C,Yes,Yes,Graduate,2,D
399,11,100,2,6.5,D,Yes,No,HighSchool,5,D
400,17,67,7,7.0,A,Yes,Yes,Graduate,1,B
401,21,72,5,10.0,D,No,Yes,PostGraduate,5,D
402,17,95,7,7.2,D,Yes,Yes,Graduate,2,D
403,8,96,7,5.9,B,No,No,Graduate,1,A
404,0,100,6,5.6,B,Yes,Yes,HighSchool,2,C
405,36,69,6,3.9,C,No,No,HighSchool,1,D
406,19,61,0,6.6,A,No,Yes,PostGraduate,9,A
407,32,95,5,5.2,B,Yes,No,HighSchool,10,B
408,11,63,4,4.2,B,No,Yes,HighSchool,5,A
409,13,77,5,7.5,A,Yes,No,PostGraduate,2,B
410,16,97,2,3.8,A,Yes,No,Graduate,7,D
411,12,67,10,8.0,D,No,No,HighSchool,2,B
412,9,77,10,8.2,C,No,Yes,HighSchool,2,C
413,14,63,5,6.4,C,No,No,HighSchool,6,D
414,9,58,0,8.6,B,No,Yes,Graduate,3,D
415,16,62,1,6.6,D,No,No,HighSchool,6,B
416,19,71,2,10.0,A,No,Yes,PostGraduate,9,C
417,19,57,4,8.8,A,No,Yes,HighSchool,2,C
418,20,94,2,3.0,D,Yes,No,Graduate,2,D
419,0,83,6,6.1,D,Yes,No,HighSchool,9,D
420,32,86,3,3.0,C,No,No,Graduate,4,B
421,18,93,2,7.0,B,No,Yes,PostGraduate,10,D
422,3,98,3,4.3,B,Yes,No,HighSchool,1,D
423,15,50,3,5.5,A,Yes,No,PostGraduate,7,C
424,4,75,4,6.2,D,Yes,No,PostGraduate,3,B
425,17,72,2,4.4,A,Yes,Yes,Graduate,8,D
426,10,86,4,5.9,D,No,No,Graduate,6,C
427,12,80,7,6.7,C,No,No,PostGraduate,5,A
428,9,73,8,6.0,B,Yes,No,PostGraduate,1,D
429,7,59,9,8.8,B,Yes,Yes,PostGraduate,9,C
430,17,89,7,10.0,B,Yes,Yes,Graduate,5,B
431,28,87,0,8.2,C,Yes,No,PostGraduate,1,B
432,13,83,8,6.0,D,No,No,HighSchool,5,D
433,14,100,3,6.2,D,Yes,Yes,PostGraduate,6,D
434,25,79,0,4.7,B,Yes,Yes,Graduate,1,C
435,19,69,2,7.5,C,Yes,No,Graduate,6,C
436,19,64,5,6.6,D,Yes,Yes,PostGraduate,3,B
437,25,100,4,9.7,C,No,No,HighSchool,6,C
438,23,64,4,6.7,B,No,Yes,PostGraduate,3,A
439,19,80,1,8.4,A,Yes,Yes,HighSchool,5,A
440,22,80,5,5.2,A,Yes,No,Graduate,8,C
441,7,69,5,5.7,C,No,No,PostGraduate,1,A
442,21,65,0,8.6,B,No,Yes,PostGraduate,6,D
443,13,84,10,7.0,D,No,No,PostGraduate,8,D
444,25,84,1,9.6,A,No,Yes,PostGraduate,4,B
445,16,99,2,4.9,B,Yes,Yes,HighSchool,4,B
446,12,89,1,8.1,B,Yes,Yes,Graduate,10,B
447,0,79,6,7.2,D,Yes,No,Graduate,1,C
448,28,74,0,7.6,D,Yes,Yes,Graduate,2,C
449,34,82,0,8.7,C,Yes,No,HighSchool,7,B
450,7,100,4,7.3,D,Yes,Yes,Graduate,5,B
451,13,55,6,9.3,A,Yes,Yes,HighSchool,6,D
452,21,74,4,4.5,D,Yes,No,Graduate,6,B
453,28,62,5,5.1,A,Yes,No,HighSchool,8,B
454,10,58,10,8.3,C,No,No,HighSchool,4,B
455,18,50,2,7.3,A,No,Yes,Graduate,5,C
456,7,100,5,7.5,D,Yes,No,Graduate,1,A
457,7,71,3,3.0,D,Yes,No,Graduate,2,C
458,0,70,5,6.3,C,Yes,Yes,HighSchool,4,C
459,6,79,6,5.6,B,Yes,No,PostGraduate,5,C
460,25,79,2,7.1,C,Yes,Yes,PostGraduate,4,C
461,19,76,7,8.0,D,Yes,No,PostGraduate,5,B
462,1,76,1,6.4,A,No,No,PostGraduate,2,A
463,0,90,0,6.1,B,No,No,PostGraduate,3,C
